black_sims,black_winrate,mean_score,std_score
1,0.0000,-8.5000,2.8940
2,0.3750,-8.3125,14.9592
3,0.4375,-7.1875,14.4253
4,0.3750,-6.2500,12.7451
6,0.5000,-2.1875,11.3397
8,0.4375,-6.1875,11.7458
10,0.1875,-11.3125,10.2727
12,0.2500,-9.8750,9.0545
14,0.1875,-9.1250,12.2672
16,0.5625,-0.6875,12.9674
20,0.6250,-0.2500,13.3440
24,0.7500,2.6250,11.0842
28,0.6250,-1.3750,14.6836
32,0.5625,-1.9375,12.6242
40,0.8750,7.0000,4.6503
48,0.8125,4.0000,11.9269
56,0.9375,8.7500,3.8971
64,0.7500,3.6875,9.0638
80,0.6875,-0.6250,11.7360
96,0.8125,1.7500,11.0199
128,0.8125,6.5000,9.4934
